2014-03-03 14:36:15 status installed antiword 0.37-8
2014-03-03 14:36:16 remove antiword 0.37-8 <none>
2014-03-03 14:36:16 status half-configured antiword 0.37-8
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:16 status triggers-pending hicolor-icon-theme 0.12-1ubuntu2
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:16 status triggers-pending man-db 2.6.1-2
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:17 status config-files antiword 0.37-8
2014-03-03 14:36:17 purge antiword 0.37-8 <none>
2014-03-03 14:36:17 status config-files antiword 0.37-8
2014-03-03 14:36:17 status config-files antiword 0.37-8
2014-03-03 14:36:17 status config-files antiword 0.37-8
2014-03-03 14:36:18 status config-files antiword 0.37-8
2014-03-03 14:36:18 status config-files antiword 0.37-8
2014-03-03 14:36:18 status not-installed antiword <none>
2014-03-03 14:36:18 trigproc hicolor-icon-theme 0.12-1ubuntu2 <none>
2014-03-03 14:36:18 status half-configured hicolor-icon-theme 0.12-1ubuntu2
2014-03-03 14:36:25 status installed hicolor-icon-theme 0.12-1ubuntu2
2014-03-03 14:36:25 trigproc man-db 2.6.1-2 <none>
2014-03-03 14:36:25 status half-configured man-db 2.6.1-2
2014-03-03 14:36:32 status installed man-db 2.6.1-2
2014-03-03 14:40:59 startup packages purge
2014-03-03 14:40:59 status installed bsh 2.0b4-12build1
2014-03-03 14:41:00 remove bsh 2.0b4-12build1 <none>
2014-03-03 14:41:00 status half-configured bsh 2.0b4-12build1
2014-03-03 14:41:00 status half-installed bsh 2.0b4-12build1
2014-03-03 14:41:00 status triggers-pending menu 2.1.46ubuntu1
2014-03-03 14:41:00 status half-installed bsh 2.0b4-12build1
2014-03-03 14:41:00 status triggers-pending man-db 2.6.1-2
2014-03-03 14:41:00 status half-installed bsh 2.0b4-12build1
2014-03-03 14:41:00 status triggers-awaited menu 2.1.46ubuntu1
2014-03-03 14:41:00 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:00 purge bsh 2.0b4-12build1 <none>
2014-03-03 14:41:00 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:00 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:00 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:01 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:01 status config-files bsh 2.0b4-12build1
2014-03-03 14:41:01 status not-installed bsh <none>
2014-03-03 14:41:01 trigproc menu 2.1.46ubuntu1 <none>
2014-03-03 14:41:01 status half-configured menu 2.1.46ubuntu1
2014-03-03 14:41:02 status installed menu 2.1.46ubuntu1
2014-03-03 14:41:02 trigproc man-db 2.6.1-2 <none>
2014-03-03 14:41:02 status half-configured man-db 2.6.1-2
2014-03-03 14:41:09 status installed man-db 2.6.1-2
2014-03-03 14:41:55 startup packages purge
2014-03-03 14:41:55 status installed btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 remove btrfs-tools 0.19+20100601-3ubuntu3 <none>
2014-03-03 14:41:57 status half-configured btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status half-installed btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status triggers-pending man-db 2.6.1-2
2014-03-03 14:41:57 status half-installed btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status config-files btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status config-files btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status config-files btrfs-tools 0.19+20100601-3ubuntu3
2014-03-03 14:41:57 status not-installed btrfs-tools <none>
2014-03-03 14:41:58 trigproc man-db 2.6.1-2 <none>
2014-03-03 14:41:58 status half-configured man-db 2.6.1-2
2014-03-03 14:42:02 status installed man-db 2.6.1-2
2014-03-03 14:43:43 startup packages purge
2014-03-03 14:43:43 status installed catdvi 0.14-12
2014-03-03 14:43:44 remove catdvi 0.14-12 <none>
