[rosmaster.master][INFO] 2012-12-18 21:02:38,718: +PUB [/sensorPacket] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,751: +PUB [/odom] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,785: +PUB [/tf] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,822: +SERVICE [/brake] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,854: +SERVICE [/circle] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,887: +SERVICE [/demo] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,925: +SERVICE [/leds] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,959: +SERVICE [/tank] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:38,993: +SERVICE [/turn] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:39,027: +SERVICE [/dock] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:39,058: +SUB [/cmd_vel] /create http://linaro-alip:48172/
[rosmaster.master][INFO] 2012-12-18 21:02:48,578: +PUB [/rosout] /rosservice_13593_1355864568071 http://linaro-alip:45048/
[rosmaster.master][INFO] 2012-12-18 21:02:48,637: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:02:48,660: -PUB [/rosout] /rosservice_13593_1355864568071 http://linaro-alip:45048/
[rosmaster.master][INFO] 2012-12-18 21:02:48,742: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:02:52,292: +PUB [/rosout] /rosservice_13608_1355864571786 http://linaro-alip:35643/
[rosmaster.master][INFO] 2012-12-18 21:02:52,358: -PUB [/rosout] /rosservice_13608_1355864571786 http://linaro-alip:35643/
[rosmaster.master][INFO] 2012-12-18 21:02:52,369: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:02:52,377: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:05:13,202: +PUB [/rosout] /rosservice_13621_1355864712706 http://linaro-alip:38693/
[rosmaster.master][INFO] 2012-12-18 21:05:13,266: -PUB [/rosout] /rosservice_13621_1355864712706 http://linaro-alip:38693/
[rosmaster.master][INFO] 2012-12-18 21:05:13,295: publisherUpdate[/rosout] -> http://linaro-alip:38050/
